id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1165665857369886720,1165664682952163328,1566751372000,2019-08-25,19:42:52,MSK,832455176120250369,momortez,momomortez,,Climate change Alert....African forest fire bigger than Amazon....3900 fires in last 48 hours in Angola.....,['realdonaldtrump'],[],[],0,0,0,[],[],https://twitter.com/momortez/status/1165665857369886720,False,,0,,,,,,,"[{'user_id': '832455176120250369', 'username': 'momortez'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}]",
1165663847593590784,1165663847593590784,1566750892000,2019-08-25,19:34:52,MSK,920670079125143552,neichphao18,joonie_18,,"Guys I want to say something can I? 
The thing is as you all know about Amazon forest fire and its only 18 months left for our climate to change completely. Can we please plant 2 trees at our home on 1st and 12th Sept in Jungkook and RM's name.",[],[],[],1,1,1,[],[],https://twitter.com/neichphao18/status/1165663847593590784,False,,0,,,,,,,"[{'user_id': '920670079125143552', 'username': 'neichphao18'}]",
1165639262018002944,1165639262018002944,1566745031000,2019-08-25,17:57:11,MSK,32602399,simonetarantino,© Simone Tarantino,,".@NASA’s #Amazon #forest #fire map shows just how much trouble we’re in
#ClimateChange #HumanEffect https://www.slashgear.com/nasas-amazon-forest-fire-map-shows-just-how-much-trouble-were-in-23588502/ …",['nasa'],['https://www.slashgear.com/nasas-amazon-forest-fire-map-shows-just-how-much-trouble-were-in-23588502/'],[],0,0,1,"['#amazon', '#forest', '#fire', '#climatechange', '#humaneffect']",[],https://twitter.com/simonetarantino/status/1165639262018002944,False,,0,,,,,,,"[{'user_id': '32602399', 'username': 'simonetarantino'}, {'user_id': '11348282', 'username': 'NASA'}]",
1165633856734715905,1165633856734715905,1566743742000,2019-08-25,17:35:42,MSK,2368067429,mollyrs15,Molly,,"Why we should care about the Amazon Rain forest Fire, and how we can hel...  https://youtu.be/o0pe71IUL8Q  via @YouTube #ClimateChange #AmazonRainforest #AmazonFire",['youtube'],['https://youtu.be/o0pe71IUL8Q'],[],0,0,0,"['#climatechange', '#amazonrainforest', '#amazonfire']",[],https://twitter.com/mollyrs15/status/1165633856734715905,False,,0,,,,,,,"[{'user_id': '2368067429', 'username': 'mollyrs15'}, {'user_id': '10228272', 'username': 'YouTube'}]",
1165618565204119552,1165489391197802496,1566740096000,2019-08-25,16:34:56,MSK,1032699247307776000,seijohxfg,sean,,im not being closed-minded it’s just clearly not meat eaters that are causing the amazon forest fire?? if i’m eating chicken how is that the biggest cause of climate change  pic.twitter.com/h0ckVSRhNM,"['adorablecmb', 'jamescharles']",[],[],0,0,1,[],[],https://twitter.com/seijohxfg/status/1165618565204119552,False,,1,,,,,,,"[{'user_id': '1032699247307776000', 'username': 'seijohxfg'}, {'user_id': '2433306140', 'username': 'ADORABLECMB'}, {'user_id': '1117786405', 'username': 'jamescharles'}]",
1165584610266210304,1165584610266210304,1566732001000,2019-08-25,14:20:01,MSK,1025450422859788288,sukanya_kimtae,Sukanya Devi,,The thing is as you all know about Amazon forest fire. And its only 18 months left for our climate to change completely. Can we please plant 2 trees at our home on 1st and 12th September in Jungkook and RM's name. #SavingAmazon #SaveEarth #ForJungkookandRM Let's spread the word. pic.twitter.com/FqdtOSekkk,[],[],['https://pbs.twimg.com/media/ECz9Bm_UYAEDsPc.jpg'],0,1,3,"['#savingamazon', '#saveearth', '#forjungkookandrm']",[],https://twitter.com/Sukanya_KimTae/status/1165584610266210304,False,,0,,,,,,,"[{'user_id': '1025450422859788288', 'username': 'Sukanya_KimTae'}]",
1165568861728468993,1165568861728468993,1566728246000,2019-08-25,13:17:26,MSK,1116726445881970688,2005moonchild,RM'S MOONCHILD Kristi,,The thing is as you all know about Amazon forest fire.And its only 18 months left for our climate to change completely.Can we please plant 2 trees at our home on 1st and 12th September in Jungkook and RM's name.Upload it on #SavingAmazon #SaveEarth #ForJungkookandRM,[],[],[],0,0,4,"['#savingamazon', '#saveearth', '#forjungkookandrm']",[],https://twitter.com/2005Moonchild/status/1165568861728468993,False,,0,,,,,,,"[{'user_id': '1116726445881970688', 'username': '2005Moonchild'}]",
1165562882651652096,1165476537203712000,1566726820000,2019-08-25,12:53:40,MSK,1124626020043124736,elmaria88068394,ElmariaJin♡,,"*Guys I want to say something can I??*
*The thing is as you all know about Amazon forest fire.* *And its only 18 months left for our climate to change completely.* *Can we please plant 2 trees at our home on 1st and 12th September in Jungkook and RM's name.*",['bts_twt'],[],[],0,0,0,[],[],https://twitter.com/Elmaria88068394/status/1165562882651652096,False,,0,,,,,,,"[{'user_id': '1124626020043124736', 'username': 'Elmaria88068394'}, {'user_id': '335141638', 'username': 'BTS_twt'}]",
1165562652325638144,1165562652325638144,1566726766000,2019-08-25,12:52:46,MSK,1124626020043124736,elmaria88068394,ElmariaJin♡,,"*Guys I want to say something can I??*
*The thing is as you all know about Amazon forest fire.* *And its only 18 months left for our climate to change completely.* *Can we please plant 2 trees at our home on 1st and 12th September in Jungkook and RM's name.*",[],[],[],1,0,1,[],[],https://twitter.com/Elmaria88068394/status/1165562652325638144,False,,0,,,,,,,"[{'user_id': '1124626020043124736', 'username': 'Elmaria88068394'}]",
1165504449789382656,1165504449789382656,1566712889000,2019-08-25,09:01:29,MSK,83267554,zivamp,zzah,,"This context kindda feel wrong with the massive forest fire in Amazon at the moment.

Even in my country people still want to build house near the beach despite we all believe in climate change it's because despite its inevitability...  https://twitter.com/charliekirk11/status/1165395539535360000 …",[],['https://twitter.com/charliekirk11/status/1165395539535360000'],[],1,0,0,[],[],https://twitter.com/zivamp/status/1165504449789382656,False,https://twitter.com/charliekirk11/status/1165395539535360000,0,,,,,,,"[{'user_id': '83267554', 'username': 'zivamp'}]",
1165405809909456896,1165405809909456896,1566689371000,2019-08-25,02:29:31,MSK,812857520,venzedanniele,venze,,"hi, this is a friendly reminder na bawasan na natin plastic usage natin please lang aware naman tayo sa amazon forest fire diba hdheh

it's called climate change sis we need to change",[],[],[],1,1,2,[],[],https://twitter.com/venzedanniele/status/1165405809909456896,False,,0,,,,,,,"[{'user_id': '812857520', 'username': 'venzedanniele'}]",
1165374383822725122,1165374383822725122,1566681879000,2019-08-25,00:24:39,MSK,16058324,karensl,KarenSL⭐️⭐️⭐️,,"I sure hope one or more of the Radical Climate Change/Gore Global Warming Nuts didn't intentionally start the Amazon Forest Fire(2) to have this be a big issue at the G7......do you think those people are that DEVIOUS & RADICAL, Sen. Merkley??  Hope NOT!!!  https://twitter.com/SenJeffMerkley/status/1165006278197960704 …",[],['https://twitter.com/SenJeffMerkley/status/1165006278197960704'],[],0,0,0,[],[],https://twitter.com/KarenSL/status/1165374383822725122,False,https://twitter.com/SenJeffMerkley/status/1165006278197960704,0,,,,,,,"[{'user_id': '16058324', 'username': 'KarenSL'}]",
1165342039124279296,1165342039124279296,1566674167000,2019-08-24,22:16:07,MSK,2969784007,_sydneyrella,💋,,"Yup this climate change will be a super problem soon. Not only Amazon have a forest fire but we have also here in the Philippines. 💔
Try to have a less impact to destroy our beautiful planet. 
As simply as using reusable things for the household or reducing plastics. Go Vegan!💚  https://twitter.com/vctrlmn/status/1164775184592588800 …",[],['https://twitter.com/vctrlmn/status/1164775184592588800'],[],0,0,0,[],[],https://twitter.com/_SYDNEYRELLA/status/1165342039124279296,False,https://twitter.com/vctrlmn/status/1164775184592588800,0,,,,,,,"[{'user_id': '2969784007', 'username': '_SYDNEYRELLA'}]",
1165308252483215360,1164889503200190465,1566666112000,2019-08-24,20:01:52,MSK,893176350160416768,sachigracen,Sachi Grace,,Trump is unconcerned with the Amazon rain forest fire because he'll be dead before it will impact him personally. His pretense that scientists are wrong about climate change permits him to do away with regulations which control the businesses of wealthy donors. The reason is 💰.,['sethmacfarlane'],[],[],0,0,1,[],[],https://twitter.com/sachigracen/status/1165308252483215360,False,,0,,,,,,,"[{'user_id': '893176350160416768', 'username': 'sachigracen'}, {'user_id': '18948541', 'username': 'SethMacFarlane'}]",
